node_id,name,original_name,former_name,jurisdiction,jurisdiction_description,company_type,address,internal_id,incorporation_date,inactivation_date,struck_off_date,dorm_date,status,service_provider,ibcRUC,country_codes,countries,sourceID,valid_until,note,node_type,degree,degree_centrality,betweenness_centrality
145785,BONUS PARTNER DEVELOPMENT LIMITED,,,BVI,British Virgin Islands,Standard International Company,"Portcullis TrustNet Chambers P.O. Box 3444 Road Town, Tortola BRITISH VIRGIN ISLANDS",,22-FEB-2005,,,,Struck / Defunct / Deregistered,Portcullis Trustnet,643441,VGB,British Virgin Islands,Offshore Leaks,The Offshore Leaks data is current through 2010,,Entity,6,7.316091743790467e-05,3.5879544547338257e-06
129403,CENTURY GLOBAL SELECTIONS FUND INC.,,,BVI,British Virgin Islands,Professional Mutual Fund,"Portcullis TrustNet Chambers P.O. Box 3444 Road Town, Tortola BRITISH VIRGIN ISLANDS;David Chong & Co. Office B1, 7/F. Loyong Court 212-220 Lockhart Road Wanchai Hong Kong",,22-MAR-1999,,,,Struck / Defunct / Deregistered,Portcullis Trustnet,317586,CYM;VGB,Cayman Islands;British Virgin Islands,Offshore Leaks,The Offshore Leaks data is current through 2010,,Entity,6,7.316091743790467e-05,0.0004055799337255921
141691,FULL PEARL ENTERPRISES LIMITED,,,BVI,British Virgin Islands,Standard International Company,"Portcullis TrustNet Chambers P.O. Box 3444 Road Town, Tortola BRITISH VIRGIN ISLANDS;TrustNet Chambers P.O. Box 3444 Road Town, Tortola BRITISH VIRGIN ISLANDS",,01-APR-2004,,,,Active,Portcullis Trustnet,589574,VGB,British Virgin Islands,Offshore Leaks,The Offshore Leaks data is current through 2010,,Entity,5,6.0967431198253896e-05,2.0698520831090644e-07
145789,TIGERMOTH INVESTMENTS LTD,,,BVI,British Virgin Islands,Standard International Company,"Portcullis TrustNet Chambers P.O. Box 3444 Road Town, Tortola BRITISH VIRGIN ISLANDS",,22-FEB-2005,,,,Active,Portcullis Trustnet,643445,VGB,British Virgin Islands,Offshore Leaks,The Offshore Leaks data is current through 2010,,Entity,5,6.0967431198253896e-05,6.01158863473226e-07
166269,Rich Blessing Venture Limited,,,BVI,British Virgin Islands,Standard International Company,"Portcullis TrustNet Chambers P.O. Box 3444 Road Town, Tortola BRITISH VIRGIN ISLANDS",,01-SEP-2008,,,,Active,Portcullis Trustnet,1501578,VGB,British Virgin Islands,Offshore Leaks,The Offshore Leaks data is current through 2010,,Entity,5,6.0967431198253896e-05,1.824056266772222e-06
141697,PROSPER MARKET ENTERPRISES LIMITED,,,BVI,British Virgin Islands,Standard International Company,"Portcullis TrustNet Chambers P.O. Box 3444 Road Town, Tortola BRITISH VIRGIN ISLANDS;TrustNet Chambers P.O. Box 3444 Road Town, Tortola BRITISH VIRGIN ISLANDS",,01-APR-2004,,,,Struck / Defunct / Deregistered,Portcullis Trustnet,589585,VGB,British Virgin Islands,Offshore Leaks,The Offshore Leaks data is current through 2010,,Entity,5,6.0967431198253896e-05,4.7448090186232023e-07
164228,Iron Rhapsody Limited,,,BVI,British Virgin Islands,Business Company Limited by Shares,"Portcullis TrustNet Chambers P.O. Box 3444 Road Town, Tortola BRITISH VIRGIN ISLANDS",,09-AUG-2007,,,,Active,Portcullis Trustnet,1424021,VGB,British Virgin Islands,Offshore Leaks,The Offshore Leaks data is current through 2010,,Entity,5,6.0967431198253896e-05,1.824056266772222e-06
164230,Noble Garland Inc.,,,BVI,British Virgin Islands,Business Company Limited by Shares,"Portcullis TrustNet Chambers P.O. Box 3444 Road Town, Tortola BRITISH VIRGIN ISLANDS",,09-AUG-2007,,,,Active,Portcullis Trustnet,1423811,VGB,British Virgin Islands,Offshore Leaks,The Offshore Leaks data is current through 2010,,Entity,5,6.0967431198253896e-05,1.824056266772222e-06
11000200,EST SA,,,,,,,10036.0,,,,,ACTIVE,,,CHE,Switzerland,Panama Papers,The Panama Papers  data is current through 2015,,Intermediary,564,9.754788991720623e-05,0.0
164233,Supremecy Investments Ltd,,,BVI,British Virgin Islands,Business Company Limited by Shares,"Portcullis TrustNet Chambers P.O. Box 3444 Road Town, Tortola BRITISH VIRGIN ISLANDS",,09-AUG-2007,,,,Active,Portcullis Trustnet,1424022,VGB,British Virgin Islands,Offshore Leaks,The Offshore Leaks data is current through 2010,,Entity,5,6.0967431198253896e-05,1.824056266772222e-06
166283,Sephora Offshore Trading Ltd,,,BVI,British Virgin Islands,Standard International Company,"Portcullis TrustNet Chambers P.O. Box 3444 Road Town, Tortola BRITISH VIRGIN ISLANDS",,08-SEP-2008,,,,Active,Portcullis Trustnet,1502566,VGB,British Virgin Islands,Offshore Leaks,The Offshore Leaks data is current through 2010,,Entity,5,6.0967431198253896e-05,1.824056266772222e-06
166284,Starcrest International Group Ltd,,,BVI,British Virgin Islands,Standard International Company,"Portcullis TrustNet Chambers P.O. Box 3444 Road Town, Tortola BRITISH VIRGIN ISLANDS",,08-SEP-2008,,,,Active,Portcullis Trustnet,1502548,VGB,British Virgin Islands,Offshore Leaks,The Offshore Leaks data is current through 2010,,Entity,5,6.0967431198253896e-05,1.824056266772222e-06
166285,Velocity Trading Worldwide Limited,,,BVI,British Virgin Islands,Standard International Company,"Portcullis TrustNet Chambers P.O. Box 3444 Road Town, Tortola British Virgin Islands",,08-SEP-2008,,,,Active,Portcullis Trustnet,1502551,VGB,British Virgin Islands,Offshore Leaks,The Offshore Leaks data is current through 2010,,Entity,5,6.0967431198253896e-05,1.824056266772222e-06
145810,Flying Knight Capital Ltd,,,BVI,British Virgin Islands,Business Company Limited by Shares,"Portcullis TrustNet Chambers P.O. Box 3444 Road Town, Tortola BRITISH VIRGIN ISLANDS",,05-APR-2006,,,,Active,Portcullis Trustnet,1019906,VGB,British Virgin Islands,Offshore Leaks,The Offshore Leaks data is current through 2010,,Entity,6,6.0967431198253896e-05,1.824056266772222e-06
145816,Beckingsdale Limited,,,BVI,British Virgin Islands,Standard International Company,"Portcullis TrustNet Chambers P.O. Box 3444 Road Town, Tortola BRITISH VIRGIN ISLANDS",,24-FEB-2005,,,,Active,Portcullis Trustnet,643816,VGB,British Virgin Islands,Offshore Leaks,The Offshore Leaks data is current through 2010,,Entity,5,6.0967431198253896e-05,1.0620661737976281e-07
156058,GRAND BEST (ASIA PACIFIC) LIMITED,,,BVI,British Virgin Islands,Business Company Limited by Shares,"Portcullis TrustNet Chambers P.O. Box 3444 Road Town, Tortola BRITISH VIRGIN ISLANDS",,21-SEP-2007,,,,Active,Portcullis Trustnet,1432960,VGB,British Virgin Islands,Offshore Leaks,The Offshore Leaks data is current through 2010,,Entity,6,7.316091743790467e-05,1.909505463197895e-06
